Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
32,-1,-1,6.185e-05,237.76,7353,west2021.mtx,CSR,OpenMP,0.23776
33,-1,-1,6.48e-05,226.95,7353,west2021.mtx,CSR,OpenMP,0.22694999999999999
34,-1,-1,6.595e-05,222.98,7353,west2021.mtx,CSR,OpenMP,0.22297999999999998
35,-1,-1,6.722e-05,218.78,7353,west2021.mtx,CSR,OpenMP,0.21878
36,-1,-1,7.058e-05,208.37,7353,west2021.mtx,CSR,OpenMP,0.20837
37,-1,-1,0.00015707,93.63,7353,west2021.mtx,CSR,OpenMP,0.09362999999999999
38,-1,-1,9.121e-05,161.23,7353,west2021.mtx,CSR,OpenMP,0.16122999999999998
39,-1,-1,8.755e-05,167.98,7353,west2021.mtx,CSR,OpenMP,0.16798
40,-1,-1,9.632e-05,152.68,7353,west2021.mtx,CSR,OpenMP,0.15268
1,-1,-1,8.842e-05,1727.41,76367,cavity10.mtx,CSR,OpenMP,1.7274100000000001
2,-1,-1,6.25e-05,2443.76,76367,cavity10.mtx,CSR,OpenMP,2.44376
3,-1,-1,7.987e-05,1912.25,76367,cavity10.mtx,CSR,OpenMP,1.91225
4,-1,-1,2.954e-05,5170.3,76367,cavity10.mtx,CSR,OpenMP,5.1703
5,-1,-1,2.303e-05,6632.94,76367,cavity10.mtx,CSR,OpenMP,6.63294
6,-1,-1,1.972e-05,7746.23,76367,cavity10.mtx,CSR,OpenMP,7.74623
7,-1,-1,2.049e-05,7455.01,76367,cavity10.mtx,CSR,OpenMP,7.455010000000001
8,-1,-1,2.265e-05,6744.51,76367,cavity10.mtx,CSR,OpenMP,6.74451
9,-1,-1,2.316e-05,6593.85,76367,cavity10.mtx,CSR,OpenMP,6.593850000000001
10,-1,-1,2.209e-05,6915.67,76367,cavity10.mtx,CSR,OpenMP,6.91567
11,-1,-1,3.437e-05,4443.52,76367,cavity10.mtx,CSR,OpenMP,4.44352
12,-1,-1,3.307e-05,4618.23,76367,cavity10.mtx,CSR,OpenMP,4.61823
13,-1,-1,3.457e-05,4417.54,76367,cavity10.mtx,CSR,OpenMP,4.41754
14,-1,-1,3.678e-05,4152.18,76367,cavity10.mtx,CSR,OpenMP,4.15218
15,-1,-1,3.431e-05,4451.02,76367,cavity10.mtx,CSR,OpenMP,4.451020000000001
16,-1,-1,3.695e-05,4133.11,76367,cavity10.mtx,CSR,OpenMP,4.133109999999999
17,-1,-1,5.532e-05,2760.81,76367,cavity10.mtx,CSR,OpenMP,2.7608099999999998
18,-1,-1,4.001e-05,3817.41,76367,cavity10.mtx,CSR,OpenMP,3.8174099999999997
19,-1,-1,4.244e-05,3599.06,76367,cavity10.mtx,CSR,OpenMP,3.59906
20,-1,-1,4.527e-05,3373.95,76367,cavity10.mtx,CSR,OpenMP,3.37395
21,-1,-1,4.368e-05,3496.71,76367,cavity10.mtx,CSR,OpenMP,3.49671
22,-1,-1,4.804e-05,3179.42,76367,cavity10.mtx,CSR,OpenMP,3.17942
23,-1,-1,4.605e-05,3317.0,76367,cavity10.mtx,CSR,OpenMP,3.317
24,-1,-1,4.891e-05,3122.96,76367,cavity10.mtx,CSR,OpenMP,3.12296
25,-1,-1,5.151e-05,2964.95,76367,cavity10.mtx,CSR,OpenMP,2.96495
26,-1,-1,4.991e-05,3060.28,76367,cavity10.mtx,CSR,OpenMP,3.06028
27,-1,-1,5.273e-05,2896.34,76367,cavity10.mtx,CSR,OpenMP,2.8963400000000004
28,-1,-1,5.651e-05,2702.72,76367,cavity10.mtx,CSR,OpenMP,2.70272
29,-1,-1,5.448e-05,2803.64,76367,cavity10.mtx,CSR,OpenMP,2.8036399999999997
30,-1,-1,6.403e-05,2385.2,76367,cavity10.mtx,CSR,OpenMP,2.3851999999999998
