Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
1,-1,16,0.00620016,410.76,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,0.41076
2,-1,16,0.00343832,740.7,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,0.7407
3,-1,16,0.00219574,1159.87,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,1.15987
4,-1,16,0.00167964,1516.26,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,1.51626
5,-1,16,0.00137829,1847.78,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,1.84778
6,-1,16,0.00116215,2191.43,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,2.19143
7,-1,16,0.00108011,2357.88,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,2.35788
8,-1,16,0.00094738,2688.25,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,2.68825
9,-1,16,0.00085075,2993.59,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,2.99359
10,-1,16,0.00078804,3231.8,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,3.2318000000000002
11,-1,16,0.00080871,3149.17,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,3.1491700000000002
12,-1,16,0.00066856,3809.38,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,3.80938
13,-1,16,0.0006116,4164.1,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,4.1641
14,-1,16,0.00052991,4806.09,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,4.80609
15,-1,16,0.00048681,5231.58,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.23158
16,-1,16,0.00045034,5655.23,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.6552299999999995
17,-1,16,0.00042351,6013.52,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,6.013520000000001
18,-1,16,0.00041625,6118.44,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,6.11844
19,-1,16,0.00038659,6587.81,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,6.58781
20,-1,16,0.00037239,6838.96,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,6.83896
21,-1,16,0.00059633,4270.73,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,4.2707299999999995
